11_12 | Data\Italian\Images\11_12.jpg
abitare | Data\Italian\Images\abitare.jpg
amare | Data\Italian\Images\amare.jpg
amato | Data\Italian\Images\amato.jpg
ascoltare | Data\Italian\Images\ascoltare.jpg
dove_tu_abiti | Data\Italian\Images\dove_tu_abiti.jpg
gioc | Data\Italian\Images\gioc.jpg
guard | Data\Italian\Images\guard.jpg
guardato | Data\Italian\Images\guardato.jpg
ho | Data\Italian\Images\ho.jpg
imparare | Data\Italian\Images\imparare.jpg
lavor | Data\Italian\Images\lavor.jpg
mangi | Data\Italian\Images\mangi.jpg
parlare | Data\Italian\Images\parlare.jpg
актер | Data\Italian\Images\актер.jpg
бабушка_дедушка | Data\Italian\Images\бабушка_дедушка.jpg
большой_маленький | Data\Italian\Images\большой_маленький.jpg
быть | Data\Italian\Images\быть.jpg
в_два_часа | Data\Italian\Images\в_два_часа.jpg
вопросы | Data\Italian\Images\вопросы.jpg
вчера_сегодня_завтра | Data\Italian\Images\вчера_сегодня_завтра.jpg
где_она_работант | Data\Italian\Images\где_она_работант.jpg
говорить(прошедшее) | Data\Italian\Images\говорить(прошедшее).jpg
да_нет | Data\Italian\Images\да_нет.jpg
делать | Data\Italian\Images\делать.jpg
думать | Data\Italian\Images\думать.jpg
если | Data\Italian\Images\если.jpg
если_не_работаешь_не_кушаешь | Data\Italian\Images\если_не_работаешь_не_кушаешь.jpg
жизнь_прекрасна | Data\Italian\Images\жизнь_прекрасна.jpg
жить | Data\Italian\Images\жить.jpg
завтра_в_12_мы_будем_учить_итальянский | Data\Italian\Images\завтра_в_12_мы_будем_учить_итальянский.jpg
знать_уметь | Data\Italian\Images\знать_уметь.jpg
и_или | Data\Italian\Images\и_или.jpg
искать | Data\Italian\Images\искать.jpg
как_дела | Data\Italian\Images\как_дела.jpg
Как_он_работает | Data\Italian\Images\Как_он_работает.jpg
как_тебя_зовут | Data\Italian\Images\как_тебя_зовут.jpg
когда_ты_работакшь | Data\Italian\Images\когда_ты_работакшь.jpg
который_час | Data\Italian\Images\который_час.jpg
кто_ищет_тот_найдет | Data\Italian\Images\кто_ищет_тот_найдет.jpg
Кто_не_работает_не_ест | Data\Italian\Images\Кто_не_работает_не_ест.jpg
кто_ты | Data\Italian\Images\кто_ты.jpg
кто_это | Data\Italian\Images\кто_это.jpg
кухня | Data\Italian\Images\кухня.jpg
меня_зовут | Data\Italian\Images\меня_зовут.jpg
надо(бизоньа) | Data\Italian\Images\надо(бизоньа).jpg
надо_сделать | Data\Italian\Images\надо_сделать.jpg
находить | Data\Italian\Images\находить.jpg
немножко | Data\Italian\Images\немножко.jpg
но | Data\Italian\Images\но.jpg
но_зачем_ты_делаешь_это | Data\Italian\Images\но_зачем_ты_делаешь_это.jpg
образование_множественного_числа | Data\Italian\Images\образование_множественного_числа.jpg
окончания_прошедшего_времени | Data\Italian\Images\окончания_прошедшего_времени.jpg
очень_хорошо_плохо | Data\Italian\Images\очень_хорошо_плохо.jpg
перевод_слов_с_окончанием_ический_ичный | Data\Italian\Images\перевод_слов_с_окончанием_ический_ичный.jpg
петь | Data\Italian\Images\петь.jpg
писатель | Data\Italian\Images\писатель.jpg
пожалуйста | Data\Italian\Images\пожалуйста.jpg
позволять | Data\Italian\Images\позволять.jpg
половина(медзо) | Data\Italian\Images\половина(медзо).jpg
помогать | Data\Italian\Images\помогать.jpg
почему_бы_нет | Data\Italian\Images\почему_бы_нет.jpg
Почему_он_не_работает | Data\Italian\Images\Почему_он_не_работает.jpg
Почему_ты_не_слушаешь | Data\Italian\Images\Почему_ты_не_слушаешь.jpg
правила_быстрого_перевода | Data\Italian\Images\правила_быстрого_перевода.jpg
приятно_познакомиться | Data\Italian\Images\приятно_познакомиться.jpg
пробовать | Data\Italian\Images\пробовать.jpg
продавать_прошедшее(это_исключение) | Data\Italian\Images\продавать_прошедшее(это_исключение).jpg
простите | Data\Italian\Images\простите.jpg
родители | Data\Italian\Images\родители.jpg
сейчас_2_часа | Data\Italian\Images\сейчас_2_часа.jpg
слова_этикета | Data\Italian\Images\слова_этикета.jpg
слова_этикета_2 | Data\Italian\Images\слова_этикета_2.jpg
слышать(прошедшее) | Data\Italian\Images\слышать(прошедшее).jpg
спал_хорошо | Data\Italian\Images\спал_хорошо.jpg
спасибо | Data\Italian\Images\спасибо.jpg
студент_студентка | Data\Italian\Images\студент_студентка.jpg
счет_до_10 | Data\Italian\Images\счет_до_10.jpg
так_себе | Data\Italian\Images\так_себе.jpg
теперь_сейчас | Data\Italian\Images\теперь_сейчас.jpg
у_меня_все_хорошо | Data\Italian\Images\у_меня_все_хорошо.jpg
хотеть | Data\Italian\Images\хотеть.jpg
что_ты_делаешь_сегодня_в_5 | Data\Italian\Images\что_ты_делаешь_сегодня_в_5.jpg
что_ты_хочешь | Data\Italian\Images\что_ты_хочешь.jpg
что_это | Data\Italian\Images\что_это.jpg
это | Data\Italian\Images\это.jpg
я_думаю_что_сейчас_надо_поесть | Data\Italian\Images\я_думаю_что_сейчас_надо_поесть.jpg
я_не_знаю_что_делать | Data\Italian\Images\я_не_знаю_что_делать.jpg
я_не_хочу_есть | Data\Italian\Images\я_не_хочу_есть.jpg
я_не_хочу_иметь_проблему | Data\Italian\Images\я_не_хочу_иметь_проблему.jpg
я_умею_очень_хорошо_петь | Data\Italian\Images\я_умею_очень_хорошо_петь.jpg
я_хочу_поговорить_об_этом | Data\Italian\Images\я_хочу_поговорить_об_этом.jpg
